"wmi";"name";"id"
"2P5";"PLYMOUTH";206
"2P9";"PREVOST";207
"2PC";"PREVOST";208
"2S2";"SUZUKI";209
"2S3";"SUZUKI";210
"2S4";"SUZUKI";211
"2T1";"TOYOTA";212
"2T2";"LEXUS";213
"2T3";"TOYOTA";214
"LVS";"CHANGAN FORD";1236
"LVV";"CHERY";1237
"LWV";"GAC FIAT";1238
"LZW";"SAIC GM WULING";1239
"LZY";"YUTONG";1240
"2XK";"KENWORTH";220
"2XM";"EAGLE";221
"2XP";"PETERBILT";222
"3A4";"CHRYSLER";223
"3A8";"CHRYSLER";224
"3AB";"DINA";225
"3AL";"FREIGHTLINER";226
"3B3";"DODGE";227
"3B4";"DODGE";228
"3B6";"DODGE";229
"3B7";"DODGE";230
"3BK";"KENWORTH";231
"3BP";"PETERBILT";232
"3C3";"CHRYSLER";233
"MNT";"NISSAN";1241
"3C8";"CHRYSLER";235
"3CA";"CHRYSLER";236
"3CE";"VOLVO";237
"3CZ";"HONDA";238
"MM0";"MAZDA";1242
"3D5";"DODGE";240
"3D6";"DODGE";241
"3D7";"DODGE";242
"MMB";"MITSUBISHI";1243
"3FB";"FORD";244
"3FC";"FORD";245
"3FD";"FORD";246
"MRH";"HONDA";1244
"3FF";"FORD";248
"3FR";"FORD";249
"3FT";"FORD";250
"3G1";"CHEVROLET";251
"3G2";"PONTIAC";252
"3G4";"BUICK";253
"3G5";"BUICK";254
"3G7";"PONTIAC";255
"3G8";"CHEVROLET";256
"3GA";"CHEVROLET";257
"3GB";"CHEVROLET";258
"3GC";"CHEVROLET";259
"3GD";"GMC";260
"3GE";"CHEVROLET";261
"3GG";"CADILLAC";262
"3GK";"GMC";263
"3GN";"CHEVROLET";264
"3GM";"PONTIAC";265
"3GT";"GMC";266
"3GY";"CADILLAC";267
"3H1";"HONDA";268
"3HA";"INTERNATIONAL";269
"3HS";"INTERNATIONAL";272
"3HT";"INTERNATIONAL";273
"3LN";"LINCOLN";274
"3MA";"MERCURY";275
"3ME";"MERCURY";276
"3N1";"NISSAN";277
"3N6";"NISSAN";278
"3N8";"NISSAN";279
"3NK";"KENWORTH";280
"3NM";"PETERBILT";281
"MS0";"KIA";1245
"3TM";"TOYOTA";283
"NMT";"TOYOTA";1246
"3WK";"KENWORTH";285
"45V";"UTILIMASTER";286
"46G";"GILLIG";287
"478";"HONDA";288
"49H";"STERLING";289
"4A3";"MITSUBISHI";290
"4A4";"MITSUBISHI";291
"4B3";"DODGE";292
"4C3";"CHRYSLER";293
"4CD";"OSHKOSH";294
"4DR";"GENESIS, INTERNATIONAL";295
"4E3";"EAGLE";296
"4F2";"MAZDA";297
"4F4";"MAZDA";298
"4G1";"CHEVROLET";299
"4G2";"PONTIAC";300
"4GB";"CHEVROLET";301
"4GD";"GMC";302
"4GT";"ISUZU, WHITEGMC";303
"4J4";"JEEP";304
"NM0";"FORD OTOSAN";1247
"4KB";"CHEVROLET";306
"4KD";"GMC";307
