"wmi";"name";"id"
"TM9";"ŠKODA TROLLEYBUSES (CZECH REPUBLIC)";907
"TNE";"TAZ";908
"TN9";"KAROSA (CZECH REPUBLIC)";909
"TRA";"IKARUS BUS";910
"TSE";"IKARUS EGYEDI AUTOBUSZGYAR";912
"TW1";"TOYOTA CAETANO PORTUGAL";914
"TYA";"MITSUBISHI TRUCKS PORTUGAL";915
"TYB";"MITSUBISHI TRUCKS PORTUGAL";916
"UU1";"RENAULT DACIA";917
"UU3";"ARO";918
"UU6";"DAEWOO ROMANIA";919
"U6Y";"KIA MOTORS SLOVAKIA";921
"VAG";"MAGNA STEYR PUCH";922
"VAN";"MAN AUSTRIA";923
"VBK";"KTM (MOTORCYCLES)";924
"VG5";"MBK (MOTORCYCLES)";932
"VLU";"SCANIA FRANCE";933
"VN1";"SOVAB (FRANCE)";934
"VNE";"IRISBUS (FRANCE)";935
"VNV";"RENAULT-NISSAN";937
"VSA";"MERCEDES-BENZ SPAIN";938
"VSE";"SUZUKI SPAIN (SANTANA MOTORS)";939
"VSK";"NISSAN SPAIN";940
"VSX";"OPEL SPAIN";942
"VS6";"FORD SPAIN";943
"VS9";"CARROCERIAS AYATS (SPAIN)";945
"VTH";"DERBI (MOTORCYCLES)";946
"VTT";"SUZUKI SPAIN (MOTORCYCLES)";947
"VWA";"NISSAN SPAIN";949
"VWV";"VOLKSWAGEN SPAIN";950
"VX1";"ZASTAVA / YUGO SERBIA";951
"WA1";"AUDI SUV";954
"WDA";"DAIMLER";957
"WDC";"DAIMLERCHRYSLER";959
"WDD";"MERCEDES-BENZ";960
"WDF";"MERCEDES-BENZ (COMMERCIAL VEHICLES)";961
"WMX";"MERCEDES-AMG";968
"WV3";"VOLKSWAGEN TRUCKS";977
"XLB";"VOLVO (NEDCAR)";978
"XLE";"SCANIA NETHERLANDS";979
"XMC";"MITSUBISHI (NEDCAR)";981
"XTT";"UAZ/SOLLERS (RUSSIA)";983
"XUF";"GENERAL MOTORS RUSSIA";984
"XUU";"AVTOTOR (RUSSIA";985
"XW8";"VOLKSWAGEN GROUP RUSSIA";986
"XWB";"UZ-DAEWOO (UZBEKISTAN)";987
"XWE";"AVTOTOR (RUSSIA";988
"X4X";"AVTOTOR (RUSSIA";989
"X7L";"RENAULT AVTOFRAMOS (RUSSIA)";990
"X7M";"HYUNDAI TAGAZ (RUSSIA)";991
"YBW";"VOLKSWAGEN BELGIUM";992
"YCM";"MAZDA BELGIUM";993
"YE2";"VAN HOOL (BUSES)";994
"YU7";"HUSABERG (MOTORCYCLES)";1000
"YV4";"VOLVO CARS";1002
"Y6D";"ZAPOROZHETS/AVTOZAZ (UKRAINE)";1005
"ZAA";"AUTOBIANCHI";1006
"ZBN";"BENELLI";1010
"ZCG";"CAGIVA SPA / MV AGUSTA";1011
"ZDM";"DUCATI MOTOR HOLDINGS SPA";1013
"ZDF";"FERRARI DINO";1014
"ZD0";"YAMAHA ITALY";1015
"ZD3";"BETA MOTOR";1016
"ZD4";"APRILIA";1017
"ZFC";"FIAT V.I.";1019
"ZGU";"MOTO GUZZI";1021
"ZJM";"MALAGUTI";1023
"ZJN";"INNOCENTI";1024
"ZKH";"HUSQVARNA MOTORCYCLES ITALY";1025
"ZOM";"OM";1027
"Z8M";"MARUSSIA (RUSSIA)";1028
"1B3";"DODGE";1029
"1C3";"CHRYSLER";1030
"1C6";"CHRYSLER";1031
"1D3";"DODGE";1032
"1FA";"FORD MOTOR COMPANY";1033
"1FB";"FORD MOTOR COMPANY";1034
"1FC";"FORD MOTOR COMPANY";1035
"1FD";"FORD MOTOR COMPANY";1036
"1FM";"FORD MOTOR COMPANY";1037
"1FT";"FORD MOTOR COMPANY";1038
"1FU";"FREIGHTLINER";1039
"1FV";"FREIGHTLINER";1040
"1F9";"FWD CORP.";1041
"1GT";"GMC TRUCK USA";1044
"1G2";"PONTIAC USA";1046
"1G6";"CADILLAC USA";1049
"1G8";"SATURN USA";1050
"1GY";"CADILLAC USA";1052
"1H";" HONDA USA";1053
"1HD";"HARLEY-DAVIDSON";1054
"1J4";"JEEP";1055
"1ME";"MERCURY USA";1057
"1M1";"MACK TRUCK USA";1058
"1M2";"MACK TRUCK USA";1059
"1M3";"MACK TRUCK USA";1060
"1M4";"MACK TRUCK USA";1061
"1M9";"MYNATT TRUCK & EQUIPMENT";1062
"1NX";"NUMMI USA";1064
"1P3";"PLYMOUTH USA";1065
"1R9";"ROADRUNNER HAY SQUEEZE USA";1066
"1XK";"KENWORTH USA";1068
"1XP";"PETERBILT USA";1069
"2A4";"CHRYSLER CANADA";1072
"2B3";"DODGE CANADA";1073
"2B7";"DODGE CANADA";1074
"2C3";"CHRYSLER CANADA";1075
"2CN";"CAMI";1076
"2D3";"DODGE CANADA";1077
"2FA";"FORD MOTOR COMPANY CANADA";1078
"2FB";"FORD MOTOR COMPANY CANADA";1079
"2FC";"FORD MOTOR COMPANY CANADA";1080
"2FM";"FORD MOTOR COMPANY CANADA";1081
"2FT";"FORD MOTOR COMPANY CANADA";1082
"2FU";"FREIGHTLINER";1083
"2FV";"FREIGHTLINER";1084
"2FZ";"STERLING";1085
"2G";"GENERAL MOTORS CANADA";1086
"2G3";"OLDSMOBILE CANADA";1089
"2G4";"BUICK CANADA";1090
"2NV";"NOVA BUS CANADA";1096
"2P3";"PLYMOUTH CANADA";1097
"2V4";"VOLKSWAGEN CANADA";1099
"2V8";"VOLKSWAGEN CANADA";1100
"2WK";"WESTERN STAR";1101
"2WL";"WESTERN STAR";1102
"2WM";"WESTERN STAR";1103
"3C4";"CHRYSLER MEXICO";1104
"3D3";"DODGE MEXICO";1105
"3FA";"FORD MOTOR COMPANY MEXICO";1106
"3FE";"FORD MOTOR COMPANY MEXICO";1107
"3H";"HONDA MEXICO";1109
"3JB";"BRP MEXICO (ALL-TERRAIN VEHICLES)";1110
"3MZ";"MAZDA MEXICO";1111
"3P3";"PLYMOUTH MEXICO";1113
"4JG";"MERCEDES-BENZ USA";1116
"4RK";"NOVA BUS USA";1118
"4S";"SUBARU-ISUZU AUTOMOTIVE";1119
"4T9";"LUMEN MOTORS (ZERO-EMISSION MID-ENGINED CAR)";1121
"4UF";"ARCTIC CAT INC.";1122
"4UZ";"FRT-THOMAS BUS";1124
"4V1";"VOLVO";1125
"4V2";"VOLVO";1126
"4V3";"VOLVO";1127
"4V4";"VOLVO";1128
"4V5";"VOLVO";1129
"4V6";"VOLVO";1130
"4VL";"VOLVO";1131
"4VM";"VOLVO";1132
"4VZ";"VOLVO";1133
"538";"ZERO MOTORCYCLES (USA)";1134
"5F";"HONDA USA-ALABAMA";1135
"6AB";"MAN AUSTRALIA";1141
"6F4";"NISSAN MOTOR COMPANY AUSTRALIA";1142
"6F5";"KENWORTH AUSTRALIA";1143
"6FP";"FORD MOTOR COMPANY AUSTRALIA";1144
"6H8";"GENERAL MOTORS-HOLDEN (PRE NOV 2002)";1147
"8AK";"SUZUKI ARGENTINA";1155
"8GD";"PEUGEOT CHILE";1159
"8GG";"CHEVROLET CHILE";1160
"93R";"TOYOTA BRAZIL";1164
"93U";"AUDI BRAZIL";1165
"93V";"AUDI BRAZIL";1166
